Empid,Gender,Age,Sales,BMI,Salary,Birthday
A123,m,26,987,overweight,192,14/10/1990
B234,m,28,876,normal,749,28/08/1988
C345,f,42,765,underweight,821,18/07/1974
D456,f,52,876,obesity,238,21/09/1964
E567,m,41,893,normal,298,11/09/1975
X12,m,64,918,obesity,98,1/01/1953
X123,m,29,9999,normal,871,23/05/1987
X234,m,25,999,tooheavy,123,1/06/1991
X345,f,49,999,normal,123,31-02-1968
X456,f,75,999,normal,984,1968-02.29
J123,M,20,200,Normal,20000,7/05/1996
H234,F,24,400,Overweight,50000,3/02/1993
G555,M,21,2,Underweight,25,3/02/2000
E001,F,17,350,Obese,42000,1/01/2000
L223,M,100,0,Average,56700,1/01/1917
J123,M,20,200,Normal,20000,7/05/1996
B007,M,40,500,Normal,100000,21/02/1977
Z555,F,21,52,Underweight,38000,17/03/1996
T099,F,18,15,Obese,0,25/08/1998
456H,B,150,0,Underweight,500,5/5/1855
A123,M,16,123,Normal,23,20/10/2000
A124,F,16,124,Normal,24,21/11/2000
A125,M,26,125,Obese,25,6/05/1990
A126,F,25,126,Obese,26,7/06/1991
A127,M,24,127,Overweight,27,8/07/1992
A128,F,23,128,Overweight,28,9/08/1993
A129,M,22,129,Underweight,29,10/09/1994
A130,F,21,130,Underweight,30,11/10/1995
A131,M,36,131,Normal,31,3/04/1980
A132,F,31,132,Overweight,32,8/07/1985
A123,M,16,123,Normal,4523,2000-10-20
124,F,16,124,Normal,24,2000-11-21
A125,m,25,125,Obese,25,1990-5-6
,f,25,126,Obese,26,1991-6-7
A127,,24,127,Overweight,27,1992-7-8
A128,F,23,128,,28,1993-8-9
A129,m,22,,Underweight,29,1994-9-10
A130,f,21,130,,30,1995-10-11
A131,M,36,131,Normal,,1980-4-3
A132,F,31,132,Overweight,32,
